generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
13,1400,119,3709,932.967,888.001,3.32367,5.27169,-5.74439,-2.31394,-3.91351,-4.16897,-0.0300381,-4.32067,0.189706,0.910235,-0.410052,-7.12408,-5.35051,-13.7435,-6.99088,-6.74577,-6.57063,-8.20647,-7.72848,-14.671,-20.3409,-52.4618,119,144,151,213,221,235,249,286,318,527,539,575,609,656,670,674,787,834,922,948,971,990,1030,1054,1214,1221,2537,2732,2854,3709
14,1500,7,7814,2401.73,2208.91,9.88879,4.69032,-4.71533,-1.1239,-4.25408,-4.16036,-0.778305,-3.97871,-0.921435,2.12526,-0.596959,-8.45799,-6.43748,-12.3311,-7.3932,-7.11672,-7.07663,-9.50678,-8.27736,-17.8798,-18.5263,-55.3355,7,110,269,282,315,414,456,677,761,1079,1095,1384,1573,1608,1626,1755,1786,2023,2106,2419,2933,2978,3548,3778,4968,4991,5661,6473,7163,7814
15,1600,71,6396,2206.3,1630.78,6.50016,5.62396,-3.85957,-2.63329,-2.16062,-5.11634,0.653789,-4.87641,-1.08815,1.90065,-0.947302,-8.66397,-6.50019,-12.6783,-6.87377,-6.75221,-6.86977,-10.4289,-8.14523,-19.0277,-18.1756,-56.2882,71,209,213,520,696,794,890,951,1064,1178,1182,1216,1439,1525,1749,2169,2303,2377,2588,2713,2715,2730,3127,3284,3471,3681,4244,4942,5752,6396
16,1700,69,19383,4717.3,5144.98,12.8123,6.35313,-5.20191,-3.23138,-2.98797,-6.00237,0.537631,-4.30935,-1.31139,-0.394023,0.689025,-9.73882,-6.35365,-12.1775,-6.06147,-7.22378,-9.08686,-9.12576,-9.13395,-19.9928,-16.5691,-56.8781,69,228,327,349,484,485,795,836,850,968,1010,1477,1525,2794,2983,3535,3705,3990,4281,4414,5016,5950,7817,8477,8513,9097,11357,14556,16248,19383
17,1800,53,14394,3826.43,3766.06,14.1377,5.46306,-5.527,-0.995572,-1.06449,-4.13982,0.236227,-3.90553,0.216413,0.459406,2.25788,-10.4353,-6.73804,-12.8534,-6.45275,-8.08874,-7.61027,-9.59134,-9.86695,-19.644,-15.7135,-57.4421,53,150,193,196,397,490,613,1113,1153,1834,1852,2179,2420,2438,2446,2488,2873,3391,3525,4568,4819,5268,5979,5983,6221,7131,7342,8966,14318,14394
18,1900,57,25324,7753.63,7091.6,13.0262,6.80038,-6.28957,-4.18976,-2.70093,-4.88826,0.826837,-4.78914,0.984784,-0.686867,1.92251,-10.7559,-8.08174,-10.4674,-7.56558,-7.98204,-10.2051,-11.4088,-8.65535,-19.963,-15.4765,-59.4296,57,228,588,935,1102,1387,1608,2172,2598,2609,3072,3215,3354,3509,3775,4145,4154,9184,10339,10458,11501,13252,13898,14115,14277,15179,17904,19198,19472,25324
19,2000,99,26536,9594.27,7737.33,7.7971,7.33955,-6.88775,-2.19148,-3.09016,-6.04291,1.10281,-5.68619,1.18073,-1.79648,1.99813,-10.8253,-6.54131,-8.18323,-7.30515,-7.7419,-10.6853,-12.6691,-6.90186,-17.9183,-13.194,-59.0315,99,137,175,1809,2177,2248,2498,2938,3670,3753,4302,4316,5280,5935,6049,6586,8191,8729,14052,15157,16435,16448,16501,16609,16791,19753,20118,20249,20287,26536
20,2100,1469,47056,14193.6,11958.1,4.13705,7.67818,-7.17406,-2.13887,-2.14501,-2.06011,-0.702232,-6.14453,0.976896,-1.91196,2.43395,-12.2369,-5.48026,-9.91663,-10.0181,-8.52351,-9.50946,-13.6017,-6.6746,-17.4851,-14.1143,-59.8663,1469,1674,3037,3260,3328,3838,3863,4408,4520,4565,6893,7913,8206,8466,9343,10704,11828,16157,16768,17864,17939,18297,18527,19425,26564,26827,28810,35113,39146,47056
21,2200,156,56618,18497,17709.2,7.26353,7.30279,-6.00895,-0.182136,-2.43819,-3.15968,-2.79873,-7.06162,0.824566,-2.6069,3.17697,-9.58865,-4.86108,-11.733,-10.0094,-10.0684,-9.63592,-13.8621,-5.66266,-18.3484,-12.9762,-61.035,156,1317,1734,1925,2157,2415,2422,3218,4378,4896,5215,6453,8548,9010,11050,11178,11457,16490,18493,19883,28638,34289,35813,37551,37846,39995,43584,45580,52602,56618
22,2300,391,62518,14094.3,14403.2,9.56332,7.10385,-4.12221,-1.03485,-3.18499,-3.20146,-0.92925,-7.19842,0.147993,-4.06237,3.42111,-10.4558,-5.7145,-12.6421,-10.7141,-9.49594,-9.40282,-15.0835,-5.69387,-18.4303,-13.386,-61.3665,391,502,1342,1894,3331,3710,3714,3988,4201,5492,6486,7969,9429,9451,9679,10890,11193,12577,13389,13626,14783,16447,17258,21754,22660,23135,27460,30371,53190,62518
