generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
53,5400,749,646064,135668,140205,-20.4214,14.3867,-10.7597,-0.848444,-2.57448,-1.8401,0.440499,-1.44998,0.0936458,-7.06257,9.54046,-17.1595,-12.6874,-15.6022,-10.9529,-15.4203,-10.8471,-18.0345,-9.34233,-21.4788,-9.93622,-78.6626
54,5500,6738,528096,121414,105844,-20.5399,14.4347,-10.7468,-0.912457,-2.66737,-1.82154,0.991348,-1.6258,-0.107995,-7.0182,10.0972,-16.9805,-12.6155,-15.5225,-10.9279,-15.2947,-10.3094,-18.0289,-9.44303,-21.8933,-9.58038,-78.7425
55,5600,6250,231344,99222.2,69262.9,-20.7436,14.3855,-10.6924,-0.715666,-2.8739,-1.93475,0.466068,-1.64357,-0.203992,-7.25279,10.2958,-17.0805,-12.6977,-15.5531,-11.2001,-15.2511,-10.5356,-17.6374,-9.54537,-21.7774,-9.02335,-78.8833
56,5700,2154,330773,121366,99306.7,-20.8403,14.402,-10.6955,-1.06831,-2.95713,-2.04133,0.915961,-1.64317,-0.246567,-7.44803,10.6965,-17.1079,-12.8072,-15.4405,-11.4216,-15.2601,-10.547,-17.8001,-9.56537,-22.1916,-8.67919,-78.9006
57,5800,6545,326792,103095,99764,-20.4999,14.2939,-10.7955,-1.11061,-2.83656,-2.43204,0.990991,-1.22781,-0.362072,-7.34544,10.6735,-17.0673,-12.7307,-15.3152,-11.1122,-15.5762,-10.5415,-17.7723,-9.59614,-21.5425,-8.8687,-78.953
58,5900,3326,264036,104611,73281.8,-20.1931,14.3166,-10.7196,-1.23695,-2.98263,-2.09207,1.19971,-1.29803,-0.641195,-7.39562,10.5634,-16.9862,-12.7464,-15.3443,-11.182,-15.5148,-10.6036,-17.6332,-9.63651,-21.8701,-8.94239,-78.9041
59,6000,2604,405765,119654,107998,-20.0876,14.2016,-10.5788,-1.58329,-2.97715,-2.51563,1.40459,-1.30243,-0.472871,-7.36008,10.5379,-17.037,-12.8613,-15.4206,-11.4292,-15.5626,-10.6447,-17.7564,-9.59007,-21.9218,-9.02141,-78.9045
60,6100,3643,490941,119875,114790,-20.0248,14.1962,-10.6537,-1.42739,-3.07768,-2.51098,1.08993,-1.26766,-0.500747,-7.42232,10.5538,-16.9949,-12.8982,-15.5213,-11.5363,-15.7577,-10.6886,-17.8286,-9.57756,-22.0496,-8.8316,-78.829
61,6200,3165,393576,109114,95832,-20.0684,14.1204,-10.5913,-1.30679,-3.04734,-2.59583,1.11865,-1.2425,-0.589273,-7.36087,10.6585,-16.961,-12.9379,-15.5821,-11.6202,-15.899,-10.6051,-17.5808,-9.623,-21.9993,-8.87448,-78.8203
62,6300,719,510487,107032,125203,-20.0092,14.0017,-10.677,-1.27868,-3.13279,-2.56725,0.970288,-1.26315,-0.448572,-7.32049,10.6154,-16.9505,-12.9775,-15.539,-11.4596,-15.895,-10.6025,-17.6565,-9.62224,-22.0474,-9.01358,-78.7735
63,6400,288,670032,154278,149262,-19.9945,14.0235,-10.6167,-1.25298,-3.06676,-2.69817,0.954959,-1.27551,-0.404128,-7.33751,10.5802,-16.8701,-12.9869,-15.5777,-11.5654,-15.9941,-10.5484,-17.8774,-9.61962,-22.0918,-9.04195,-78.7501
64,6500,1571,562156,115713,124142,-20.0211,14.025,-10.5975,-1.18973,-3.06504,-2.8521,1.11559,-1.29085,-0.358493,-7.29994,10.5119,-16.763,-12.9515,-15.6288,-11.4476,-16.037,-10.509,-17.8522,-9.67962,-22.4203,-8.98315,-78.8414
