generation,agents,score,stepsize
377,4914,88045.2,0.011567
378,4927,83052.5,0.0116266
379,4940,80623.9,0.011543
380,4953,91648.5,0.011486
381,4966,73219.4,0.0111967
382,4979,65850.4,0.0114378
383,4992,67026,0.0114862
384,5005,83161.5,0.0114473
385,5018,62472.6,0.0115201
386,5031,78958.9,0.0113725
387,5044,67552.9,0.0111595
388,5057,72888.5,0.0109131
389,5070,77101.1,0.0104169
390,5083,82250.3,0.0101844
391,5096,93840.3,0.00973236
392,5109,90035.8,0.00918609
393,5122,74366.4,0.00876176
394,5135,63340.6,0.00844393
395,5148,93325.5,0.00834816
396,5161,66383.7,0.00845245
397,5174,85425.4,0.00844849
398,5187,78288.4,0.00834249
399,5200,70471.5,0.00823929
400,5213,62618.2,0.00809073
401,5226,67275.9,0.00791822
402,5239,67492.7,0.00763918
403,5252,52784.1,0.007413
404,5265,93078.3,0.00707642
405,5278,78172.6,0.00685908
406,5291,78077.2,0.00672159
407,5304,58075.9,0.00684434
408,5317,86323.9,0.00668195
409,5330,77574.9,0.00629961
410,5343,78679.9,0.00604561
411,5356,66993.3,0.00582228
412,5369,85790.6,0.0055921
413,5382,69082.5,0.00550885
414,5395,60265.8,0.00533706
415,5408,80867.7,0.00519707
416,5421,42648.1,0.00510998
417,5434,77858.3,0.00501808
418,5447,80144.6,0.00499223
419,5460,66777.6,0.00498409
420,5473,65126.4,0.00498272
421,5486,62330.1,0.00499401
422,5499,63994.5,0.00506209
423,5512,75503.2,0.00508457
424,5525,66747.9,0.00501018
425,5538,78744.9,0.00494732
426,5551,75552.5,0.00490212
427,5564,80151.1,0.0048189
428,5577,70232.5,0.00477633
429,5590,57003.1,0.00477277
430,5603,45888.8,0.00472779
431,5616,79681.5,0.00474089
432,5629,62523.3,0.00464008
433,5642,86534,0.00459777
434,5655,64868.9,0.00443894
435,5668,50501.3,0.00440094
436,5681,72243.5,0.0042953
437,5694,78046.2,0.00417547
438,5707,51705,0.00410568
439,5720,56414.3,0.00400493
440,5733,55577.1,0.00396603
441,5746,66570,0.0040257
442,5759,62071.5,0.00417227
443,5772,56074.9,0.00428948
444,5785,60550.5,0.00443095
445,5798,50637,0.00474693
446,5811,53739.8,0.00490081
447,5824,73348.1,0.00503009
448,5837,39360.2,0.00508746
449,5850,59188.4,0.00512637
450,5863,42663.5,0.00524865
451,5876,74439.8,0.00548102
452,5889,50015.2,0.00566464
453,5902,56100.9,0.00581213
454,5915,46962,0.00594911
455,5928,35801.9,0.00604699
456,5941,39352.4,0.00617537
457,5954,30687.7,0.00630415
458,5967,38422.4,0.00658542
459,5980,24539.3,0.00672214
460,5993,50078.4,0.00676279
461,6006,50275.4,0.00695769
462,6019,62675.4,0.00729333
463,6032,40698.3,0.00739012
464,6045,42854.9,0.00753426
465,6058,51351.8,0.00766515
466,6071,42739.7,0.00765267
467,6084,56831.5,0.00778143
468,6097,56604.5,0.00788935
469,6110,55962,0.0077197
470,6123,47693.9,0.00756838
471,6136,35162.7,0.00724725
472,6149,49976.8,0.00715167
473,6162,43377.5,0.00708562
474,6175,68991.9,0.00706026
475,6188,78172.1,0.00688426
476,6201,61023.4,0.00688901
477,6214,53084.8,0.00662666
478,6227,44538.8,0.00642894
479,6240,66982.8,0.00634768
480,6253,64219.8,0.00633984
481,6266,67280.6,0.00644321
482,6279,67141.7,0.00649214
483,6292,59300.3,0.00651132
484,6305,61628.9,0.00647885
485,6318,70856.7,0.00638708
486,6331,75026.3,0.00623343
487,6344,64279.1,0.00616625
488,6357,54438.7,0.00589641
489,6370,57099.4,0.00569992
490,6383,60650.3,0.00561112
491,6396,69130.1,0.00551352
492,6409,56441.5,0.00528653
493,6422,51065.6,0.00496388
494,6435,48814.6,0.00484943
495,6448,45251.9,0.004541
496,6461,68131.9,0.00448742
497,6474,72896.9,0.00438215
498,6487,59108.5,0.00424773
499,6500,66351.3,0.00425011
500,6513,66956.5,0.0043434
501,6526,69386.1,0.00452256
502,6539,80149.4,0.0045405
503,6552,60707.5,0.00452815
504,6565,72969.6,0.00448792
505,6578,75489.1,0.00441634
506,6591,57180,0.00444523
507,6604,51953.4,0.0044338
508,6617,46389,0.00443407
509,6630,65252.5,0.00446505
510,6643,45972.4,0.00452775
511,6656,56301.1,0.00459302
512,6669,58202.5,0.00458824
513,6682,48926.3,0.00470802
514,6695,33609.8,0.00482745
515,6708,71885.4,0.00494748
516,6721,53191.3,0.00493157
517,6734,34816.3,0.0049516
518,6747,58795.6,0.00497479
519,6760,48107.2,0.00506067
520,6773,70832.4,0.00491226
521,6786,53989.9,0.00479827
522,6799,52160.9,0.00464619
523,6812,72193.3,0.004655
524,6825,55287.8,0.00474929
525,6838,50364.5,0.00487544
526,6851,45651.6,0.00492505
527,6864,37647.1,0.0048706
528,6877,53438.2,0.00492888
529,6890,60538.8,0.00510105
530,6903,51386.4,0.00532083
531,6916,75780.7,0.00537712
532,6929,70472.9,0.00529636
533,6942,36099.1,0.00531473
534,6955,49190.7,0.00516062
535,6968,48170.6,0.00492617
536,6981,49179.4,0.00490471
537,6994,68535.9,0.00491246
538,7007,65456.2,0.00493892
539,7020,58348.4,0.00483106
540,7033,31317.2,0.00471623
541,7046,53425.3,0.00462487
542,7059,36612.6,0.00444142
543,7072,70559.9,0.00436169
544,7085,51321,0.00419304
545,7098,63667.5,0.0040434
546,7111,62471.9,0.00406297
547,7124,44266.2,0.00406409
548,7137,50796.8,0.00409201
549,7150,46076,0.00421689
550,7163,53375.7,0.00424903
551,7176,42956.3,0.00428731
552,7189,64280.4,0.00416014
553,7202,68466.5,0.00410212
554,7215,48561.9,0.00404807
555,7228,60908.3,0.00410927
556,7241,48537.1,0.0040542
557,7254,72077.2,0.00402352
558,7267,49938.6,0.0039547
559,7280,77488.1,0.0040449
560,7293,70050.7,0.0041792
561,7306,49343.3,0.00416261
562,7319,66310.4,0.0040873
563,7332,68577.2,0.00396541
564,7345,67910.5,0.00389635
565,7358,64918.5,0.0039063
566,7371,66201,0.00379155
567,7384,79683.3,0.00370141
568,7397,63371.6,0.00354112
569,7410,80169.7,0.00350043
570,7423,64170.6,0.00355913
571,7436,71133.1,0.00354193
572,7449,54805.4,0.00345944
573,7462,66228.1,0.00342099
574,7475,75660.9,0.00344798
575,7488,68166.2,0.00346098
576,7501,74312,0.00349056
577,7514,77476.6,0.00341959
578,7527,69178.4,0.00342
579,7540,57375.2,0.00342184
580,7553,66653.1,0.00334709
581,7566,73764.6,0.00339347
582,7579,61171.3,0.00342879
583,7592,53927.6,0.00348515
584,7605,70899,0.00357601
585,7618,61003.4,0.00357905
586,7631,70532.4,0.00352371
587,7644,64491.8,0.00344887
588,7657,83851.8,0.0034192
589,7670,46291.9,0.00345611
590,7683,83437.3,0.00337145
591,7696,85689.5,0.00318094
592,7709,59334.5,0.00303986
593,7722,70104.9,0.00289469
594,7735,52567.3,0.0028532
595,7748,65630.2,0.00284973
596,7761,76760.7,0.00288619
597,7774,73918.1,0.00286598
598,7787,54070.7,0.0028658
599,7800,66738.9,0.00286491
600,7813,50359,0.00277693
601,7826,57866.6,0.00275256
602,7839,64983.8,0.00268788
603,7852,67838.9,0.00262079
604,7865,35425.9,0.00260497
605,7878,91545.8,0.00258307
606,7891,48095.2,0.00254383
607,7904,52678,0.00257854
608,7917,76160.1,0.00247933
609,7930,63431.9,0.00248493
610,7943,60595.1,0.00251061
611,7956,23801,0.0025318
612,7969,67194.4,0.00251694
613,7982,72813.3,0.00240519
614,7995,68860.2,0.0023804
615,8008,74303.5,0.00239361
