agents,score,clow,chigh,Q1,Q2,Q3,means
2353,44660.083300000006,69547.24546807172,32890.403547158574,6622.3665,44660.083300000006,82348.5,"[560.6, 909.433, 12335.3, 29031.9, 35625.0, 44660.083300000006, 53591.6, 62284.7, 79202.0, 85495.0, 87565.3]"
2366,46735.4267,72779.08934755555,34418.812741257236,4709.35,41502.6,82661.95000000001,"[381.667, 1243.27, 8175.43, 25078.6, 31306.9, 41502.6, 42286.9, 46735.426699999996, 75351.3, 89972.6, 152055.0]"
2379,41356.7333,64403.07921621534,30457.615551048715,4038.7999999999997,41356.7333,71170.25,"[494.433, 1240.03, 6837.57, 19032.3, 21408.1, 41356.7333, 54716.4, 59425.0, 69969.0, 72371.5, 108073.0]"
2392,43295.8764,67422.8241698352,31885.718554490446,4974.8485,43295.8764,75419.6,"[347.767, 959.167, 8990.53, 26525.9, 27297.3, 43295.8764, 54414.2, 66279.7, 69071.0, 81768.2, 97305.0]"
2405,35269.613000000005,54923.86604829494,25974.689673767585,4639.0650000000005,34183.9,63619.049999999996,"[346.6, 946.7, 8331.43, 15297.0, 27148.5, 34183.9, 35269.613, 51320.8, 52487.2, 74750.9, 87883.1]"
2418,37489.263,58380.43244935234,27609.375031227508,7429.965,37489.263,66001.15,"[432.1, 1022.53, 13837.4, 19039.0, 33855.9, 37489.263, 39770.7, 55181.6, 60138.7, 71863.6, 79751.1]"
2431,45867.076700000005,71426.84487912215,33779.3069497359,7168.7835,45867.076700000005,81900.75,"[370.0, 916.667, 13420.9, 28061.4, 37927.8, 45867.076700000005, 49282.7, 59190.8, 72485.7, 91315.8, 105699.0]"
2444,39601.61,61669.90045898198,29165.035928564652,4916.7,39601.61,76382.85,"[417.6, 1188.47, 8644.93, 16160.2, 18372.1, 39601.61, 52012.8, 53942.6, 65869.1, 86896.6, 92511.7]"
2457,41593.8337,64772.305570062694,30632.23071656035,5708.935,41593.8337,67992.5,"[348.667, 1031.67, 10386.2, 31887.6, 33599.2, 41593.8337, 61209.0, 67346.6, 67381.0, 68604.0, 74144.4]"
2470,45594.050299999995,71001.67249570957,33578.23369121316,6786.535000000001,45594.050299999995,80580.15,"[321.533, 1023.87, 12549.2, 28973.1, 29819.0, 45594.050299999995, 54961.1, 73600.6, 79070.2, 82090.1, 93531.8]"
2483,42320.4934,65903.90176947362,31167.387147279704,6742.9335,42320.4934,74173.65,"[279.267, 906.967, 12578.9, 29749.5, 40892.5, 42320.4934, 52313.2, 62740.5, 73966.9, 74380.4, 75396.8]"
2496,43585.293000000005,67873.52031358232,32098.862553871368,9697.865,37840.6,77709.4,"[269.4, 1307.63, 18088.1, 28734.8, 29665.7, 37840.6, 43585.293000000005, 73472.1, 75231.5, 80187.3, 91055.8]"
2509,44149.18,68751.63752043612,32514.143261263063,10748.5,37865.0,86245.6,"[380.5, 1298.9, 20198.1, 22166.0, 24877.8, 37865.0, 44149.18, 70463.7, 82708.5, 89782.7, 91750.6]"
2522,44873.5763,69879.70902343448,33047.63278646215,8743.914999999999,44873.5763,76116.2,"[361.133, 1144.93, 16342.9, 24240.5, 41841.7, 44873.5763, 55396.7, 56535.5, 63185.7, 89046.7, 100640.0]"
2535,48616.723699999995,75708.75303354661,35804.31435589615,5863.885,48616.723699999995,82092.15,"[423.467, 1340.37, 10387.4, 30745.3, 35080.8, 48616.723699999995, 57485.0, 76963.6, 79379.1, 84805.2, 109557.0]"
2548,40982.166699999994,63819.782604353866,30181.76190907203,7797.1,38253.6,77282.3,"[267.467, 1174.7, 14419.5, 24855.0, 36249.9, 38253.6, 40982.166699999994, 52342.6, 75848.6, 78716.0, 87694.3]"
2561,44163.717000000004,68774.27537134604,32524.84919284751,7623.135,40357.8,77926.3,"[335.7, 1146.67, 14099.6, 22599.5, 38717.7, 40357.8, 44163.717000000004, 65623.6, 70027.6, 85825.0, 102904.0]"
2574,51445.43630000001,80113.78667912488,37887.5504821694,6981.415000000001,51445.4363,72957.0,"[449.633, 1520.63, 12442.2, 27525.6, 37908.2, 51445.4363, 52311.2, 57576.9, 69142.8, 76771.2, 178806.0]"
2587,43711.883299999994,68070.65399577534,32192.091355622288,9074.8665,43711.8833,74203.95,"[404.3, 976.433, 17173.3, 20354.6, 28295.2, 43711.8833, 57726.5, 65532.1, 71317.9, 77090.0, 98248.5]"
2600,47912.027,74611.358878542,35285.33281513958,6063.235,47912.027,90617.5,"[422.5, 1483.47, 10643.0, 27895.7, 31720.7, 47912.027, 53852.3, 56318.6, 89227.6, 92007.4, 115549.0]"
2613,45074.3703,70192.39696699943,33195.50970924989,7704.1849999999995,45074.370299999995,79276.5,"[321.433, 1078.97, 14329.4, 30077.8, 31377.3, 45074.370299999995, 51329.7, 60616.1, 61667.3, 96885.7, 103060.0]"
2626,54142.3003,84313.49811589252,39873.685274528914,6299.834999999999,54142.3003,94935.65,"[273.733, 1122.37, 11477.3, 31877.1, 34614.2, 54142.3003, 77655.2, 80962.8, 85426.3, 104445.0, 113569.0]"
2639,48449.5997,75448.49794683911,35681.23407040964,9368.664999999999,48449.599700000006,94052.55,"[261.067, 1144.03, 17593.3, 23075.8, 24393.0, 48449.599700000006, 57518.0, 57832.7, 78245.1, 109860.0, 114573.0]"
2652,48509.710300000006,75542.10562386361,35725.50317483969,8194.885,48509.7103,91037.7,"[387.533, 1067.77, 15322.0, 19447.0, 27546.4, 48509.7103, 64751.4, 78115.3, 86202.4, 95873.0, 96384.3]"
2665,50566.183000000005,78744.56296601747,37240.014836906266,7627.965,50566.183000000005,94858.5,"[312.5, 1304.43, 13951.5, 22173.1, 22257.2, 50566.183000000005, 73724.8, 77625.3, 94800.7, 94916.3, 104596.0]"
2678,53668.53,83575.71580751106,39524.77198990773,9169.5,53668.52999999999,99779.8,"[371.8, 1109.5, 17229.5, 24893.7, 29408.8, 53668.52999999999, 62958.2, 63768.2, 81813.6, 117746.0, 137386.0]"
2691,47250.2634,73580.8226114716,34797.96982231641,7820.7335,47250.2634,81012.7,"[289.267, 860.067, 14781.4, 17556.4, 40553.6, 47250.2634, 69904.0, 72205.2, 73191.0, 88834.4, 94327.3]"
2704,47189.9703,73486.93073497053,34753.56631377863,6732.4349999999995,47189.9703,80773.45,"[353.833, 1232.07, 12232.8, 20067.9, 23875.3, 47189.9703, 50788.0, 62294.9, 67833.0, 93713.9, 139508.0]"
2717,47135.8733,73402.6877810823,34713.72599040219,8164.35,47135.8733,75704.3,"[385.933, 1093.5, 15235.2, 24669.9, 27075.6, 47135.8733, 56172.0, 63082.0, 69494.6, 81914.0, 132236.0]"
2730,46062.380000000005,71730.98238944837,33923.14018685599,6549.35,46062.380000000005,85216.25,"[299.4, 1137.0, 11961.7, 18101.5, 28081.0, 46062.380000000005, 61981.4, 68063.3, 80357.0, 90075.5, 100566.0]"
2743,53637.793399999995,83527.85100952817,39502.13568690586,6497.1835,53637.7934,99958.1,"[365.567, 947.667, 12046.7, 29568.6, 35509.3, 53637.7934, 56810.3, 78334.6, 89896.2, 110020.0, 122879.0]"
2756,40221.7997,62635.695462384276,29621.781371061206,6768.615,40221.7997,64455.15,"[321.967, 1019.73, 12517.5, 18818.7, 35358.1, 40221.7997, 44684.9, 46298.8, 61496.7, 67413.6, 114288.0]"
2769,53025.4867,82574.33186625679,39051.19576540265,10372.9835,45770.8,98719.15,"[378.5, 901.467, 19844.5, 26897.2, 32722.8, 45770.8, 53025.486699999994, 73411.3, 89068.3, 108370.0, 132890.0]"
2782,44203.5063,68836.23755344753,32554.152455115687,8504.065,44203.5063,83412.45,"[382.233, 1005.73, 16002.4, 19859.9, 31076.2, 44203.5063, 50437.2, 67494.8, 80148.2, 86676.7, 88951.7]"
2795,47799.9733,74436.86242435589,35202.809650388735,7173.55,47212.3,102264.85,"[358.333, 996.2, 13350.9, 18051.2, 32046.7, 47212.3, 47799.9733, 51827.4, 98115.7, 106414.0, 109627.0]"
2808,47827.3234,74479.45357013364,35222.95192867363,6902.083500000001,47827.32340000001,88656.3,"[485.567, 796.067, 13008.1, 14952.3, 27228.1, 47827.32340000001, 64164.4, 67248.1, 87648.6, 89664.0, 113078.0]"
2821,45511.07,70872.45080898885,33517.12194775467,6327.6665,45511.07,77193.2,"[349.567, 989.633, 11665.7, 16313.0, 34090.3, 45511.07, 61668.3, 76242.8, 76918.7, 77467.7, 99405.0]"
2834,47778.553700000004,74403.50659362398,35187.03495325962,7092.985000000001,47778.553700000004,86270.70000000001,"[421.167, 1163.87, 13022.1, 17844.0, 24735.6, 47778.553700000004, 74684.1, 75662.2, 81014.3, 91527.1, 97711.1]"
