generation,agents,score,stepsize
547,7124,467.467,0.0978751
548,7137,440.133,0.0971703
549,7150,510.367,0.0969871
550,7163,402.933,0.0971324
551,7176,485.3,0.0958428
552,7189,356.6,0.0948586
553,7202,513.667,0.0939324
554,7215,444.433,0.092782
555,7228,556.433,0.0925016
556,7241,407.767,0.0941968
557,7254,527.467,0.0957361
558,7267,508.467,0.0987346
559,7280,501.867,0.0974485
560,7293,474.3,0.0997544
561,7306,639.633,0.103687
562,7319,677.867,0.106584
563,7332,508.533,0.108098
564,7345,496.6,0.107992
565,7358,423.367,0.104283
566,7371,331.5,0.103102
567,7384,489.133,0.105289
568,7397,379.267,0.106629
569,7410,420.567,0.107849
570,7423,552.567,0.109367
571,7436,469.8,0.109644
572,7449,487.867,0.112705
573,7462,518.367,0.115823
574,7475,526.433,0.118131
575,7488,397.167,0.120285
576,7501,475.233,0.119382
577,7514,442.467,0.117119
578,7527,499.667,0.115423
579,7540,450.767,0.115952
580,7553,641.2,0.115387
581,7566,577.5,0.115604
582,7579,432.6,0.115863
583,7592,587.967,0.116583
584,7605,385.8,0.114633
585,7618,538.2,0.11433
586,7631,392.6,0.112921
587,7644,367.767,0.109557
588,7657,326.3,0.104642
589,7670,446.633,0.100282
590,7683,581.933,0.0967171
591,7696,533.167,0.0950821
592,7709,367.8,0.0953981
593,7722,406.167,0.0934839
594,7735,507.433,0.093579
595,7748,472.1,0.0946668
596,7761,538.733,0.0965387
597,7774,452.467,0.0985829
598,7787,455.7,0.102604
599,7800,400.367,0.104684
600,7813,483.8,0.105271
601,7826,535.567,0.101918
602,7839,468.667,0.0986672
603,7852,475.667,0.0950903
604,7865,408.833,0.0921515
605,7878,558.967,0.0903408
606,7891,616.6,0.090657
607,7904,573.333,0.0922342
608,7917,472.667,0.093408
609,7930,374.133,0.0931874
610,7943,468.6,0.0945029
611,7956,472.733,0.0972035
612,7969,518.833,0.0995921
613,7982,398.367,0.100895
614,7995,487.233,0.10086
615,8008,489.467,0.100972
