generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
68,1518,250,130861,35344.5,37672.2,2.17418,7.3426,-3.71344,-6.62235,-7.3511,1.78192,-6.15931,-2.98529,-5.51606,-12.6625,10.9979,-15.0516,-16.7979,-18.8741,-15.3046,-17.432,-12.3753,-14.8457,-17.8698,-18.8607,-5.30346,-78.2325
69,1540,782,88736,25625.4,23925.8,0.810017,6.90368,-3.39864,-4.36808,-11.111,1.82906,-5.61534,-3.48763,-4.223,-11.954,11.4787,-15.2415,-19.0877,-18.9518,-17.5235,-17.565,-14.0794,-16.3678,-17.6883,-20.9244,-6.21892,-77.8375
70,1562,1369,50311,12229.2,11568.7,1.67362,6.80605,-8.23959,-5.3401,-9.60541,1.96947,-4.41694,-6.59906,-3.05658,-12.7889,12.329,-16.8286,-17.6633,-19.7717,-18.9611,-19.2567,-15.5675,-15.9275,-16.9968,-21.7403,-7.89939,-77.2705
71,1584,2917,126969,21563.7,24434.7,5.56126,5.78968,-6.13136,-3.72488,-8.36856,1.7679,-1.22435,-5.74048,-3.16458,-14.381,13.2863,-17.5888,-17.2673,-21.4508,-14.0916,-20.6992,-14.8686,-15.379,-16.2192,-23.6033,-7.12845,-81.9464
72,1606,1391,60415,19113.4,15435.2,11.4526,6.35312,-4.8346,-2.58985,-7.71117,1.75979,-0.829579,-7.10409,-3.72954,-17.7462,15.7331,-18.3908,-15.0783,-20.7188,-12.7104,-22.0259,-12.8757,-17.3642,-14.1947,-24.5099,-9.64493,-81.6848
73,1628,266,65897,20986.2,16307.7,11.8845,7.16882,-6.70131,-2.29492,-5.4423,0.147175,0.0157962,-7.53011,-3.67679,-17.3822,19.2175,-18.7589,-14.6541,-12.6026,-13.6496,-20.1212,-13.7512,-19.9529,-14.4537,-23.5334,-9.73252,-85.5209
74,1650,148,119942,33815.2,29971.1,9.5581,9.61279,-5.88199,0.316686,-6.68727,-0.409778,-0.124464,-4.74171,-5.10456,-17.9624,20.5737,-20.956,-12.3266,-13.5228,-14.5193,-18.1099,-13.3547,-21.8404,-13.1537,-23.2875,-7.86021,-86.9595
75,1672,116,126091,24155.9,28340.4,14.4693,8.40133,-6.00888,-0.254675,-5.15094,-2.15758,1.71433,-7.78734,-4.60314,-19.3681,22.6528,-19.7363,-10.1859,-15.0801,-14.7574,-19.0037,-13.5462,-20.9878,-12.1344,-22.9822,-7.898,-86.721
76,1694,1582,112017,26955.3,23894.6,16.148,9.11951,-5.99563,0.549429,-3.55703,-4.44059,3.43765,-5.48996,-0.738019,-20.4786,18.9062,-17.1816,-10.4649,-18.0242,-13.5053,-20.7479,-17.9064,-19.2719,-12.9172,-22.8692,-5.8876,-88.5026
77,1716,66,48885,11328.9,12397.3,15.0285,7.45681,-6.88605,-0.970712,-3.68116,-1.93146,5.1597,-3.33867,0.144978,-21.5935,18.9646,-17.8279,-8.59991,-23.5232,-13.6587,-19.476,-15.3458,-18.1731,-13.0233,-21.3622,-6.45009,-88.8919
78,1738,259,125040,14973.4,22995.5,17.0764,6.49698,-5.82639,-4.29707,-4.30608,-3.30801,5.18206,-1.62673,-0.558167,-21.2141,20.1902,-14.8925,-6.25861,-21.6451,-15.4096,-21.5251,-12.1139,-14.5683,-12.8037,-22.9956,-8.97608,-87.6612
79,1760,17,56781,16397.6,11945,16.1914,6.01861,-2.77725,-3.14886,-1.61494,-5.63822,3.46012,3.78621,0.347646,-20.8318,18.4231,-15.7031,-5.49312,-21.7406,-15.3715,-23.0596,-10.9099,-14.3851,-14.5622,-24.1766,-8.38674,-88.2784
80,1782,286,77986,25200.8,22140.5,14.3265,3.82852,-0.792881,-0.39409,-0.201508,-6.52757,1.88141,3.3358,1.89749,-17.8056,17.0247,-17.3092,-5.61545,-22.0682,-13.2497,-24.8945,-13.0756,-12.731,-17.8587,-25.6501,-5.63982,-89.2746
81,1804,863,108950,25792,25326.7,13.5601,4.3003,-2.55452,1.01852,-0.716177,-5.28594,1.64686,3.74593,0.962555,-17.528,17.783,-18.405,-7.00275,-20.0575,-15.4023,-26.802,-11.9289,-13.653,-17.0178,-25.0081,-7.53867,-90.644
82,1826,1107,114007,33865.2,30911.4,14.167,5.94879,-4.64698,0.439051,-3.18757,-3.64209,0.67716,2.3199,-0.312075,-18.4823,19.0446,-16.4539,-10.567,-20.219,-14.2736,-23.2291,-12.7541,-14.5678,-19.2854,-25.3524,-4.81111,-89.4737
83,1848,1457,205849,46040,49123.8,11.1467,5.14987,-6.40346,-0.796376,-5.05901,-3.49374,-2.82145,1.10679,-0.786901,-20.0805,19.7872,-16.3043,-9.63704,-20.4561,-13.2047,-24.199,-13.3587,-16.4346,-16.4474,-26.2436,-5.81004,-88.2029
84,1870,849,123298,31201.5,29962.5,9.44867,6.87827,-3.53992,-2.33158,-4.61265,-4.81764,-4.58134,2.73811,-1.20048,-17.3457,17.7758,-16.483,-6.1997,-19.8369,-12.1009,-25.138,-13.2852,-14.2371,-18.4712,-25.0797,-7.26341,-89.0426
85,1892,1541,113708,31354.9,27138.9,9.61049,6.37727,-8.96577,0.997784,-6.25465,-3.30957,-4.70541,3.60726,-1.21845,-15.0909,15.07,-18.3153,-6.12182,-17.2172,-9.67551,-26.707,-16.1808,-13.7985,-15.8561,-23.6983,-6.14066,-86.2874
86,1914,52,93328,27879.8,21501.4,13.3199,6.80315,-9.28968,1.08987,-4.99341,-2.36433,-2.99209,-1.30278,-0.981768,-13.1481,14.7613,-18.7474,-4.60841,-12.0836,-11.069,-25.8955,-14.5572,-11.9547,-18.1519,-23.8153,-2.64264,-84.702
87,1936,542,203712,41393.1,50922.3,11.828,7.25975,-11.9843,-3.17426,-2.37388,-2.69546,-6.03955,0.833828,-2.1675,-14.8421,13.6118,-17.9762,-5.8982,-15.0465,-11.3987,-23.7566,-16.3546,-10.8066,-20.1507,-22.7658,-4.05247,-85.4099
88,1958,5714,131776,47401.6,36318.2,12.8753,8.35138,-11.4996,-2.62306,-2.79005,-2.42326,-6.72001,-1.31582,-0.892716,-16.6676,12.9899,-20.9559,-8.23176,-19.6598,-11.7092,-19.0727,-14.7667,-11.4631,-19.2844,-22.77,-4.49537,-85.8335
89,1980,1322,122873,26070.9,28048.1,11.5697,9.38114,-9.99058,-0.943998,-1.68194,-1.71234,-8.84296,1.63583,0.688516,-18.8847,10.9131,-21.3445,-5.29548,-18.5666,-11.69,-16.6158,-15.4918,-15.0963,-16.6919,-19.4014,-6.31565,-86.6233
90,2002,333,92045,19113.7,21901.8,8.17211,10.1683,-12.0899,-0.339534,-3.63286,-4.01286,-7.35334,2.50768,0.782747,-18.2285,9.86557,-19.8156,-5.21976,-16.3056,-9.93906,-19.9919,-14.7663,-14.7844,-18.2161,-17.2933,-5.53352,-86.2099
91,2024,1236,98080,31167.8,26158.5,8.06369,10.3496,-11.9271,-3.49993,-2.51769,-4.656,-5.69331,-0.399705,-0.461827,-16.8672,9.79923,-21.5654,-7.36188,-15.2371,-10.5602,-20.0114,-14.1953,-16.3182,-19.9422,-19.1536,-4.9276,-86.2427
92,2046,13813,184429,62516.2,41603.9,9.62568,9.60501,-11.1734,-3.08033,-0.561296,-4.15272,-4.97323,2.61567,-1.72199,-13.3789,9.24841,-23.4641,-8.72926,-17.1933,-10.1652,-25.1118,-15.4086,-15.7322,-17.7578,-20.9714,-1.27945,-86.4929
93,2068,662,292278,57403.5,65157.1,11.7629,8.42316,-11.9104,-1.74722,-1.86493,-7.41952,-3.46984,-1.57523,-0.449408,-14.4173,9.48214,-25.4063,-10.3053,-17.1111,-11.8168,-24.2722,-13.5463,-18.6047,-15.9149,-25.4789,1.13952,-84.2875
