generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
55,5600,86,681,320.1,159.257,-1.45022,-3.8356,-23.4234,-16.2315,-21.4086,-18.4129,-19.6337,-17.3584,-16.2312,-24.1975,-5.22594,-16.2155,-6.60255,-16.3265,-7.52796,-14.4125,-9.91324,-11.8679,-9.82779,-16.3125,-20.2841,-70.4264,86,93,94,107,145,154,162,163,164,257,264,282,289,299,321,330,334,354,393,394,395,408,409,436,450,472,500,551,616,681
56,5700,5,758,297.733,215.534,-2.2201,-3.54127,-23.3386,-14.7346,-21.3697,-17.6792,-19.3119,-16.5536,-15.0565,-23.9534,-5.70571,-14.2184,-7.82763,-18.0983,-8.13869,-14.9709,-9.33054,-11.5369,-9.48061,-13.715,-20.8512,-70.3636,5,42,64,78,87,91,112,136,138,155,177,180,185,186,246,257,267,295,298,368,417,424,438,447,465,563,648,664,741,758
57,5800,52,863,313.6,219.636,-0.57726,-2.40095,-24.6801,-16.3572,-21.1425,-18.7124,-21.3314,-18.442,-14.9546,-24.5613,-6.06418,-15.0638,-8.11941,-18.8892,-7.23979,-14.8632,-10.8154,-9.54765,-10.0467,-16.1153,-20.0526,-71.0004,52,56,70,126,126,134,136,153,171,193,197,219,229,235,241,257,269,275,276,281,320,323,423,477,590,609,666,716,725,863
58,5900,63,665,294.933,185.658,-2.14619,-2.95517,-23.369,-16.2592,-19.4052,-19.4782,-22.495,-18.604,-15.5026,-24.184,-1.8147,-17.0026,-9.29585,-19.8244,-6.55237,-13.9156,-11.0919,-10.0491,-9.24309,-16.8843,-20.3115,-70.9564,63,90,99,115,116,122,138,153,169,173,178,188,196,225,256,259,265,278,288,323,334,340,404,409,483,598,627,637,657,665
59,6000,10,727,227.833,147.259,-3.65412,-2.69906,-23.7118,-13.6949,-19.1471,-19.7364,-22.2369,-18.4601,-13.7641,-24.3722,-1.55877,-15.606,-8.94971,-19.5204,-8.64895,-12.441,-10.8407,-10.0669,-7.02772,-17.0044,-20.7519,-70.6839,10,88,95,96,103,115,117,120,125,154,158,166,167,182,184,208,210,219,220,229,244,252,293,311,312,393,398,467,472,727
60,6100,36,873,280,197.694,-4.16605,-4.76044,-24.4978,-12.3209,-18.2597,-18.877,-21.1713,-19.5593,-14.6214,-25.0492,-1.3146,-16.6054,-8.62861,-20.6858,-10.6778,-12.9646,-9.45981,-10.5733,-6.68897,-19.3584,-18.7277,-72.7816,36,99,116,129,129,130,147,150,153,160,167,167,175,179,195,202,204,254,256,292,308,318,328,404,438,519,570,632,670,873
61,6200,3,672,240.5,158.295,-4.94469,-3.98416,-23.3327,-12.0785,-18.5774,-20.1857,-19.4619,-14.9337,-14.7149,-24.0901,0.238195,-17.611,-8.55964,-18.2124,-10.8194,-11.4949,-9.83135,-12.8791,-7.32915,-19.5635,-19.1604,-72.2544,3,57,66,85,90,106,110,112,124,135,166,182,188,192,195,217,227,230,232,251,302,323,327,333,357,444,469,494,526,672
62,6300,63,901,266.967,178.133,-5.46079,-4.32491,-22.6178,-11.2442,-19.2279,-19.5718,-16.6729,-16.0213,-14.6339,-24.7153,1.16025,-19.0316,-7.76448,-15.5944,-11.4851,-12.711,-11.1308,-11.4867,-7.81571,-19.571,-21.0045,-73.9647,63,74,94,95,119,124,125,153,155,165,172,175,210,227,228,235,243,246,268,270,289,324,344,356,365,408,479,518,584,901
63,6400,69,806,269.533,159.781,-5.70605,-5.22003,-20.8766,-11.2025,-18.4178,-16.8226,-18.3333,-18.0714,-15.5292,-26.4198,0.740724,-18.7419,-8.15354,-14.5398,-10.7239,-12.8007,-11.5824,-13.2553,-7.05432,-18.2499,-20.7276,-73.0049,69,80,82,100,135,135,168,173,176,184,188,191,199,214,218,230,251,274,276,299,313,349,353,360,370,421,447,448,577,806
64,6500,35,753,273.8,183.492,-4.99654,-4.50035,-20.0366,-12.6804,-18.0624,-19.1889,-20.2061,-16.6549,-13.5906,-25.9753,0.680137,-18.3381,-9.64332,-14.9856,-11.5227,-13.7852,-13.2896,-12.4554,-10.4261,-18.8321,-20.6764,-74.3324,35,97,114,121,134,143,145,148,159,165,176,177,185,194,196,209,220,247,261,277,288,330,341,370,380,456,511,657,725,753
