generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
326,4251,174,96203,26603.2,25317.8,50.7531,13.9348,-12.4931,0.74574,-12.4906,-2.99315,4.71403,-12.3344,-3.04932,-23.2258,17.4966,-36.3922,-15.0464,-26.8003,-21.1227,-17.4553,-29.9302,-29.7441,-16.4608,-38.2371,-21.6102,-155.794,174,1049,1333,3725,4753,4990,6773,7076,8704,10210,13288,15654,15914,18086,19339,20905,23783,25397,26359,29364,30484,32127,34647,36407,41158,42733,60996,77693,88773,96203
327,4264,2048,142510,41598.7,33091.3,49.4803,13.9267,-11.7983,-1.38404,-9.78282,-3.03853,6.88605,-10.0721,-2.79636,-19.0584,17.9368,-36.3383,-13.3029,-28.287,-21.0184,-17.958,-28.4124,-32.1734,-19.3844,-38.5482,-21.8175,-154.304,2048,4359,5643,6156,9297,12825,15787,15974,22923,24633,24807,25363,26822,28135,28214,31658,33115,43267,45331,46936,49093,54218,54229,69735,75316,78142,82472,94249,94704,142510
328,4277,634,61780,26942.3,16867.9,48.0458,17.3258,-13.8973,-4.0441,-11.1497,-2.30028,6.70607,-9.57149,-2.39389,-18.4048,17.4676,-35.6989,-14.9097,-29.0577,-20.7531,-17.5295,-27.97,-33.0092,-19.3952,-36.2274,-21.3029,-154.947,634,763,1771,5278,8723,8785,13035,13897,15406,17243,17441,19602,20145,21338,22092,25577,34582,35451,35880,36572,36679,37331,37591,41554,43263,46822,46956,50270,51809,61780
329,4290,813,137254,42610.1,36609.9,48.4465,15.9999,-13.4874,-8.41825,-6.7029,2.27717,5.14588,-10.5463,-2.47787,-18.4266,17.2455,-35.5948,-16.5877,-29.8699,-20.2799,-18.0269,-26.0329,-33.7674,-20.9715,-37.3919,-20.5991,-154.632,813,902,2312,7794,9378,12347,13130,15492,19709,21679,22111,25107,25112,25703,26006,30994,34802,42380,47522,52599,57290,61647,62885,66717,66806,67199,78466,107722,136426,137254
330,4303,439,368072,42737.6,68569.2,47.7406,12.2289,-15.5659,-6.22185,-8.8555,2.67295,6.6884,-12.019,-2.8644,-18.6714,17.3732,-36.434,-18.2955,-31.1376,-20.18,-18.1609,-25.0119,-34.9427,-23.7667,-38.3255,-19.3203,-155.764,439,1633,2578,3073,3153,8421,10604,11273,12632,13461,14342,14429,18592,19903,21104,23644,25604,26128,31373,34651,40035,41683,48371,54345,61868,64391,82249,91696,132380,368072
331,4316,1630,166800,29343.3,32531.2,49.8188,13.2139,-16.3266,-7.1367,-6.844,2.89545,5.36696,-7.99234,-3.89613,-20.2827,18.1365,-36.4907,-19.3952,-31.3242,-16.9709,-20.8828,-25.0827,-34.1525,-22.7808,-38.2454,-19.141,-152.093,1630,2466,3524,3585,4358,6447,9688,10599,10650,11328,11788,12177,13930,17749,18976,22024,25354,27457,29143,29441,29587,36313,37839,43724,46762,51023,54259,63990,77689,166800
332,4329,423,75117,34783.1,21899.2,48.5282,12.6871,-13.8064,-7.07026,-9.04056,0.756044,4.70962,-10.7141,-1.51196,-20.4553,20.168,-37.8068,-18.8426,-31.4324,-15.2131,-21.5106,-21.9778,-34.1608,-21.8689,-39.1583,-19.1334,-150.878,423,4847,5916,6399,9705,16220,16353,19144,19228,23495,24814,25497,25895,30647,31918,32350,33292,36180,36896,39256,40563,40956,54218,59519,60507,65065,66792,69498,72783,75117
333,4342,580,39259,12527.3,10311.7,48.2146,11.3238,-16.0192,-7.94415,-10.2509,3.03373,5.35577,-11.5272,-4.40438,-20.6321,19.973,-38.694,-18.5342,-34.3134,-15.1357,-22.5271,-21.2756,-33.2332,-20.2559,-41.5194,-18.2523,-151.845,580,747,2445,2653,3546,3947,4352,4817,4865,5165,5685,5789,6011,8346,11083,12183,12692,12829,13102,13262,13443,14073,18391,20775,21134,22840,26254,28029,37522,39259
334,4355,2098,118695,24663.5,23495.7,49.0809,9.3469,-16.0694,-8.64376,-7.83858,1.72462,6.28466,-10.9444,-2.54105,-19.296,18.3615,-38.318,-17.6943,-33.039,-14.341,-20.9763,-21.7511,-35.2349,-20.5138,-42.991,-17.9765,-153.222,2098,2869,3395,4123,5658,7415,7722,8594,9971,9992,11322,11931,12252,17600,20309,21403,23572,24104,25221,27065,28299,29467,30583,36542,37700,45325,51045,51756,53878,118695
335,4368,305,85576,24311.5,19806.2,50.795,11.7183,-16.3997,-7.90061,-6.03944,-1.03188,8.03447,-11.3955,-0.0609286,-20.4541,18.6694,-38.0188,-17.9617,-31.4665,-14.8743,-18.7463,-19.4424,-35.2451,-21.5281,-44.0622,-13.7657,-155.26,305,489,2127,2608,4528,6087,6807,10426,12823,14586,15766,17034,17362,18028,18071,21415,21440,22498,23768,25062,33022,33028,33438,33533,40666,44256,52971,54900,56726,85576
336,4381,1114,114470,25827.7,27773,53.6182,11.6446,-20.9342,-6.44371,-8.22339,-3.38849,10.4197,-11.3767,-1.70123,-21.0898,21.4914,-37.8733,-18.2563,-32.2983,-18.1354,-18.6259,-19.8801,-33.8981,-20.828,-43.068,-13.3026,-155.848,1114,1432,5442,5464,6700,7424,7911,7972,8171,8576,9564,10542,11717,12754,18469,20164,20393,20957,21892,28086,28291,29750,31783,36045,41160,43101,43237,61390,110861,114470
337,4394,523,78902,22467.7,21040.3,54.5688,10.3174,-23.5342,-4.67144,-8.25718,-3.1321,9.04948,-13.7619,-6.12697,-22.2809,22.5553,-37.344,-17.3653,-29.4473,-21.3301,-18.06,-19.3877,-35.2157,-18.3023,-41.8458,-13.0921,-153.103,523,2161,3245,3503,3599,4017,4239,4659,6392,6911,11316,11751,14468,15162,16322,17005,20007,20258,24698,25545,28380,29703,32053,32359,33875,37771,44096,70209,70903,78902
