generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
498,6487,46,363,154.733,84.016,0.860234,-3.80716,-2.81405,-11.8244,-7.92771,-10.8862,-12.9517,-8.58267,-10.1874,-9.70924,-13.7142,0.326075,-10.5203,-1.70731,-5.98742,-6.70076,-5.34801,-5.82731,-2.05807,-9.74056,-8.71307,-4.65394,-20.9449
499,6500,21,254,130,62.9724,0.881739,-4.3802,-2.61433,-12.3885,-7.94667,-11.0497,-13.5416,-8.26799,-10.2029,-9.33614,-14.0359,0.0137667,-11.3096,-1.93319,-5.53652,-6.89481,-5.04004,-5.47026,-2.0233,-9.99047,-9.30748,-3.85384,-20.8079
500,6513,37,525,138.3,97.8539,0.899875,-5.06274,-2.41721,-12.6126,-7.73205,-11.4798,-13.4897,-8.24731,-9.72487,-9.09395,-14.1485,0.321119,-11.4052,-2.22164,-5.79181,-6.58643,-4.57172,-5.32913,-2.64579,-10.0658,-9.01357,-4.07979,-21.14
501,6526,49,284,134.033,63.469,0.902726,-4.50905,-2.99826,-12.7445,-7.91097,-11.5936,-13.4565,-8.08935,-9.56249,-9.32597,-14.3008,0.634774,-11.2093,-2.29117,-5.66064,-6.47645,-5.13673,-5.70109,-2.80623,-10.7526,-9.25344,-3.39817,-21.2535
502,6539,51,493,153.6,111.571,0.875117,-4.93235,-2.68,-13.0072,-7.74127,-11.5564,-13.1606,-8.59141,-9.51999,-8.69495,-14.3264,0.631046,-11.2811,-2.6831,-5.56467,-6.38138,-4.99523,-5.56555,-2.59472,-10.5441,-9.30854,-4.24887,-21.1539
503,6552,61,405,173.567,79.4736,0.867088,-5.92697,-2.74297,-12.7153,-7.38875,-11.2354,-12.971,-8.37967,-9.67639,-9.47653,-14.32,0.745153,-10.7166,-2.95268,-5.37791,-5.99388,-4.91358,-5.84921,-3.52165,-9.91328,-8.4675,-4.52539,-21.041
504,6565,44,507,175.233,111.027,0.87556,-6.77513,-2.75826,-12.6176,-7.04451,-10.626,-13.0523,-7.72171,-10.0826,-9.36315,-13.8704,0.895734,-10.809,-2.91799,-4.83442,-6.17235,-5.14098,-6.22609,-3.90925,-9.97705,-7.88421,-4.81797,-21.1275
505,6578,47,393,138.033,87.1683,0.889837,-7.29414,-3.24281,-12.8571,-6.85905,-11.211,-12.2808,-7.93103,-10.2652,-9.84297,-13.6627,1.30036,-11.0866,-3.24313,-5.51521,-6.27448,-6.05986,-6.44778,-3.87594,-10.3237,-7.08506,-5.3902,-21.836
506,6591,51,517,166.567,99.992,0.888102,-7.04281,-3.58008,-13.1587,-6.89583,-11.2959,-12.4596,-8.21821,-10.399,-10.2836,-14.3243,1.70843,-10.7655,-3.39413,-6.04535,-6.12402,-5.3201,-5.86326,-4.5392,-9.76529,-6.85996,-7.08789,-22.3534
507,6604,51,296,140.867,58.4057,0.896718,-6.99647,-3.36323,-12.9351,-7.37796,-11.2591,-11.9639,-7.83296,-10.4635,-10.4243,-14.5364,2.15628,-10.2207,-2.87353,-6.10957,-6.11384,-5.45814,-5.84917,-4.53932,-9.39528,-6.74752,-7.25849,-21.6255
508,6617,54,492,184.667,101.606,0.888911,-7.08315,-3.7645,-13.1878,-7.8248,-11.656,-11.5829,-7.71575,-10.0679,-10.7621,-14.2045,2.07994,-10.5416,-2.84281,-6.53114,-6.04427,-5.11392,-6.14802,-4.52541,-9.81297,-6.71457,-7.16083,-22.2184
509,6630,70,424,171.2,77.0904,0.871625,-6.18717,-3.90372,-13.1992,-8.05039,-11.5099,-11.6627,-7.80634,-9.34585,-11.0165,-14.2098,2.08615,-10.6194,-2.98456,-6.71195,-6.06597,-4.43812,-6.34491,-4.70072,-9.74405,-6.90968,-6.9824,-22.2131
