generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
28,2900,41,2116,581.767,485.483,-20.1961,4.42956,-7.29456,-4.5901,-2.87397,-1.15867,2.07991,-8.03632,-1.89035,-10.1236,6.25223,-7.82141,-6.68088,-11.1536,-11.8086,-9.20366,-13.0082,-9.68141,-5.48529,-13.6677,-5.73685,-49.8703
29,3000,96,1542,534.967,380.791,-21.283,5.13178,-9.11871,-3.12156,-3.91587,0.52604,2.07597,-7.83937,-0.540864,-8.97751,6.07657,-8.37194,-6.22896,-10.231,-14.2449,-9.95158,-13.0655,-9.04431,-5.98333,-15.0151,-6.27199,-49.6494
30,3100,76,2246,632.833,536.025,-21.3508,5.34412,-9.26062,-4.49283,-4.21935,-0.343622,2.4031,-6.92692,-2.55605,-9.44641,6.26003,-9.95386,-6.59657,-13.4743,-13.6636,-10.9269,-12.7882,-8.22049,-7.17707,-13.2556,-4.85852,-51.1891
31,3200,108,1643,680.2,462.527,-22.0446,5.13544,-8.54108,-3.74987,-6.15414,-0.158717,1.30168,-7.84962,-1.55471,-9.88004,5.65526,-10.8055,-7.70324,-13.6329,-12.612,-11.9869,-13.5813,-9.27612,-6.97398,-14.7571,-5.95375,-51.5245
32,3300,164,3163,817.267,610.288,-21.5137,4.49902,-8.53946,-1.01474,-5.22176,1.56964,-0.0111696,-9.20054,-1.06794,-10.3638,5.66386,-13.1819,-6.58746,-12.8287,-11.5026,-11.2094,-13.0032,-10.4166,-4.43829,-13.5765,-6.78916,-52.5785
33,3400,50,2314,743.7,610.89,-20.5769,5.53864,-8.08659,-0.996357,-5.55675,-1.46041,0.200963,-9.04772,1.18923,-9.96586,5.86598,-13.4433,-7.24213,-12.4204,-12.1762,-11.5251,-13.5006,-10.7059,-6.72437,-14.0029,-6.49793,-55.379
34,3500,132,2965,999.933,733.947,-20.9229,5.30964,-6.82152,-2.43433,-6.49255,1.02877,0.671762,-7.33065,2.65805,-8.76696,6.20455,-13.5543,-6.03544,-10.9034,-12.794,-12.3883,-14.2484,-10.298,-7.68703,-14.3631,-6.76695,-54.6139
35,3600,73,3138,922.3,861.351,-21.2979,5.35146,-7.0396,-0.879454,-6.75525,-1.42275,2.77593,-6.31667,2.03089,-8.29349,6.16327,-12.398,-7.17781,-9.94057,-13.2175,-13.3091,-14.3269,-9.25783,-8.05436,-11.1211,-7.02985,-54.4409
36,3700,68,2136,607,518.496,-23.3974,3.07976,-5.054,-1.69539,-4.85645,-1.26855,1.25962,-7.31721,1.37344,-9.00263,7.26298,-12.2566,-6.46811,-10.2725,-11.9353,-13.6704,-15.1757,-10.3377,-7.25274,-11.0609,-8.55764,-54.8247
37,3800,93,2826,709.367,583.198,-24.8796,1.89997,-6.88425,-0.967223,-2.71284,-2.56966,-1.1147,-7.19183,0.886038,-8.31245,6.72169,-14.1253,-6.26789,-9.32974,-12.0303,-13.0082,-13.1127,-11.8436,-7.5189,-10.323,-8.12924,-54.7434
38,3900,113,2351,779.667,606.642,-23.2923,3.09784,-2.99078,-0.716561,-1.41842,-3.73105,-0.601803,-7.43512,0.572799,-9.58101,6.78363,-12.1355,-5.55917,-9.49159,-12.7716,-12.0372,-14.0915,-11.9972,-6.90041,-11.1858,-9.77008,-54.9741
39,4000,84,2083,622.533,502.721,-22.7409,3.39601,-3.87633,-1.06121,-2.00646,-2.26057,-0.0861927,-6.37163,0.928009,-10.4905,7.03959,-11.3211,-5.00669,-9.25127,-12.5135,-12.0256,-15.033,-11.6461,-8.20169,-11.607,-10.8935,-54.8526
40,4100,42,1916,637.7,521.208,-23.9806,3.6507,-6.12038,-1.19113,-1.55082,-2.49322,-0.285103,-6.67629,2.286,-10.1324,6.5406,-10.7389,-4.82291,-10.0001,-10.4641,-11.8505,-13.5261,-14.2485,-6.96011,-10.6405,-9.95194,-54.4512
41,4200,126,2381,464.833,473.237,-26.2129,2.86202,-4.58268,-1.11805,-3.22099,-3.0494,0.775621,-6.80604,3.37003,-10.5904,6.00676,-10.1299,-6.02831,-10.3181,-10.5336,-12.5476,-9.24632,-12.4597,-7.60879,-11.4211,-10.1935,-54.7243
42,4300,52,4111,1107.2,1069.73,-26.6661,4.05339,-6.25511,-2.89443,-3.67839,-3.11564,1.71458,-6.6335,2.91624,-9.9775,7.94228,-9.58152,-4.02301,-9.52528,-10.2113,-11.0463,-9.47659,-12.1773,-8.1247,-13.5671,-9.01422,-55.6092
43,4400,139,1960,758.4,465.093,-28.0974,4.20827,-5.90081,-3.08054,-4.70922,-4.2212,1.26874,-6.59838,0.392326,-9.61446,9.24193,-10.1193,-4.39832,-7.96587,-12.9392,-11.2188,-10.7454,-13.169,-10.7653,-13.4424,-9.67328,-55.5704
44,4500,106,1418,541.067,362.973,-28.1186,3.40163,-4.91162,-2.18804,-3.0919,-3.89173,0.50926,-6.3925,-0.582694,-8.827,9.04294,-12.2424,-5.73051,-8.99182,-12.571,-11.854,-12.068,-15.2957,-9.72877,-14.2422,-9.96227,-58.0561
45,4600,101,2422,707.733,563.569,-28.5315,4.40117,-5.65878,-3.94949,-3.62089,-4.23552,0.4761,-5.14992,-0.458741,-9.87587,8.40193,-12.2756,-5.14827,-10.05,-13.2043,-13.132,-11.5578,-13.9782,-10.4133,-16.7544,-10.2493,-62.1654
46,4700,156,3001,1022.63,813.547,-26.8635,5.75655,-6.34528,-4.34205,-2.45633,-3.83055,1.18792,-5.89192,-0.670246,-9.95151,9.27554,-12.2205,-5.87372,-11.5114,-12.8931,-12.7843,-9.38158,-14.6785,-10.5563,-15.0525,-10.2099,-61.3298
47,4800,64,3335,1008.03,1009.52,-26.5137,5.14111,-5.69864,-4.76415,-3.10734,-2.04874,1.13489,-5.60293,-0.21131,-9.80509,9.33965,-10.9893,-4.52263,-11.4331,-11.5644,-12.7757,-8.64426,-14.7916,-8.83337,-14.7943,-10.0024,-61.3663
48,4900,93,5287,1261.5,1269.8,-27.6767,5.46189,-5.73449,-4.24204,-3.58568,-1.81648,-0.458872,-6.17185,2.40674,-10.426,10.1004,-9.64533,-5.41658,-12.2231,-10.7136,-11.1154,-8.06699,-13.7222,-8.95302,-14.8567,-9.71483,-64.4594
49,5000,35,4113,1291.43,1068.08,-27.2541,5.83036,-6.76985,-3.75117,-4.3682,-0.610237,-0.934333,-6.18984,1.32311,-8.8285,9.99441,-10.9189,-5.90095,-11.8966,-11.9273,-12.2232,-8.63611,-12.2731,-9.18063,-14.2664,-9.75578,-64.5609
50,5100,100,2672,856.8,656.433,-27.2832,5.86509,-6.94626,-3.37617,-4.28675,-1.62817,-2.05901,-6.56533,0.553088,-9.06448,8.72189,-10.179,-7.62149,-11.7139,-11.9624,-12.7159,-7.98967,-12.0014,-9.42845,-13.0118,-9.98478,-63.0757
51,5200,45,3173,890.367,761.344,-28.5377,6.88232,-6.75456,-3.94528,-2.93321,-2.04938,-2.1447,-6.65659,0.866266,-9.44971,9.14293,-11.7886,-6.94773,-13.1248,-11.7058,-12.4183,-7.8478,-13.6181,-9.59464,-13.0269,-12.0129,-64.1165
52,5300,101,2871,971.7,809.822,-27.1236,7.32423,-6.78288,-4.57903,-1.72847,-2.6814,-3.5225,-4.96592,1.30715,-9.24614,8.40511,-11.1429,-7.17404,-12.5239,-10.5402,-12.3415,-7.49147,-12.5873,-9.39571,-13.8293,-12.0258,-65.2342
53,5400,79,5056,1069.93,1087.73,-25.1973,8.04897,-5.76844,-4.71884,-2.8724,-2.47133,-2.27854,-2.52663,0.751344,-8.86564,7.85,-10.8188,-7.39513,-13.4435,-11.861,-13.5214,-7.84719,-11.5246,-8.39608,-14.8135,-11.6709,-66.3506
54,5500,44,3930,1564.4,1186.2,-25.2099,8.86882,-6.62053,-3.78756,-3.45713,-2.89373,-0.832182,-3.64212,-0.604241,-9.19884,8.75266,-11.4855,-7.37105,-16.2234,-11.4673,-14.6339,-6.12995,-13.2601,-7.57836,-13.5103,-12.2877,-66.2643
55,5600,70,5635,1606.13,1462.48,-24.3202,9.37457,-6.31318,-2.50188,-2.91222,-2.35563,-0.171227,-1.05487,-1.10201,-10.2281,10.1683,-12.3748,-9.02877,-16.0713,-12.6391,-16.3236,-9.28996,-14.6741,-7.47453,-14.5811,-12.4252,-67.5214
56,5700,164,5229,1424.37,1282.72,-22.4457,9.2701,-6.37542,-0.968634,-3.27473,-2.79678,-0.962095,-1.4847,-1.71781,-8.80386,8.55151,-12.1098,-9.96883,-16.1839,-12.8192,-16.1456,-11.5766,-15.3163,-8.95122,-15.6563,-12.1777,-67.9934
